,Accuracy,Loss,F1 Score
q1 freeze baseline,"['0.746', '0.746', '0.759', '0.707', '0.707']","['1.201', '0.847', '0.940', '0.631', '0.626']","['0.738', '0.742', '0.718', '0.698', '0.702']"
q1 train baseline,"['0.712', '0.712', '0.690', '0.724', '0.741']","['0.987', '0.725', '0.796', '0.888', '0.977']","['0.703', '0.722', '0.658', '0.691', '0.703']"
q2 freeze baseline,"['0.458', '0.542', '0.397', '0.483', '0.483']","['1.330', '1.338', '1.611', '1.192', '1.300']","['0.430', '0.514', '0.323', '0.454', '0.443']"
q2 train baseline,"['0.492', '0.559', '0.500', '0.552', '0.534']","['1.234', '1.111', '1.113', '1.208', '1.077']","['0.472', '0.537', '0.436', '0.527', '0.537']"
q1 freeze lstm glove,"['0.695', '0.780', '0.741', '0.638', '0.655']","['0.790', '0.701', '0.741', '0.867', '0.802']","['0.671', '0.739', '0.705', '0.576', '0.611']"
q1 freeze lstm biglove,"['0.695', '0.729', '0.707', '0.707', '0.690']","['0.756', '0.645', '1.197', '0.916', '0.670']","['0.670', '0.734', '0.701', '0.707', '0.683']"
q1 freeze lstm bigloveatt,"['0.780', '0.780', '0.724', '0.724', '0.793']","['0.623', '0.821', '0.824', '0.628', '0.595']","['0.752', '0.776', '0.722', '0.725', '0.777']"
q1 freeze lstm bifasttextatt,"['0.695', '0.746', '0.741', '0.707', '0.690']","['0.758', '0.717', '0.664', '0.882', '0.686']","['0.671', '0.705', '0.722', '0.687', '0.695']"
q1 freeze gru glove,"['0.729', '0.831', '0.707', '0.638', '0.672']","['1.186', '0.906', '1.342', '0.832', '0.985']","['0.729', '0.826', '0.682', '0.581', '0.685']"
q1 freeze gru biglove,"['0.712', '0.746', '0.707', '0.672', '0.707']","['0.842', '1.104', '0.850', '1.017', '0.734']","['0.705', '0.705', '0.673', '0.670', '0.707']"
q1 freeze gru bigloveatt,"['0.780', '0.814', '0.759', '0.776', '0.776']","['0.685', '0.541', '1.065', '0.641', '0.573']","['0.779', '0.813', '0.746', '0.764', '0.774']"
q1 freeze gru bifasttextatt,"['0.712', '0.763', '0.776', '0.672', '0.707']","['0.793', '0.639', '0.545', '0.754', '0.847']","['0.688', '0.726', '0.757', '0.620', '0.672']"
q1 train lstm glove,"['0.695', '0.746', '0.759', '0.672', '0.672']","['0.807', '1.048', '1.319', '0.814', '0.768']","['0.696', '0.740', '0.732', '0.620', '0.639']"
q1 train lstm biglove,"['0.763', '0.729', '0.690', '0.638', '0.724']","['1.710', '0.722', '0.824', '0.832', '0.887']","['0.760', '0.687', '0.684', '0.592', '0.718']"
q1 train lstm bigloveatt,"['0.780', '0.763', '0.759', '0.724', '0.741']","['0.918', '0.542', '0.629', '0.709', '0.628']","['0.772', '0.772', '0.721', '0.710', '0.700']"
q1 train lstm bifasttextatt,"['0.746', '0.729', '0.776', '0.741', '0.759']","['0.777', '0.618', '0.639', '0.719', '0.690']","['0.720', '0.692', '0.771', '0.689', '0.766']"
q1 train gru glove,"['0.729', '0.729', '0.672', '0.638', '0.707']","['1.554', '1.151', '0.862', '1.321', '1.330']","['0.720', '0.711', '0.644', '0.610', '0.709']"
q1 train gru biglove,"['0.695', '0.797', '0.707', '0.672', '0.690']","['0.937', '1.111', '0.819', '1.468', '1.084']","['0.697', '0.791', '0.702', '0.660', '0.694']"
q1 train gru bigloveatt,"['0.780', '0.763', '0.759', '0.724', '0.741']","['0.706', '0.641', '0.703', '0.930', '1.047']","['0.777', '0.725', '0.720', '0.665', '0.722']"
q1 train gru bifasttextatt,"['0.729', '0.695', '0.759', '0.741', '0.741']","['0.685', '0.716', '0.703', '1.030', '0.895']","['0.704', '0.647', '0.727', '0.722', '0.744']"
q2 freeze lstm glove,"['0.390', '0.424', '0.483', '0.397', '0.448']","['1.785', '1.402', '2.199', '1.347', '2.467']","['0.380', '0.388', '0.478', '0.306', '0.443']"
q2 freeze lstm biglove,"['0.441', '0.424', '0.466', '0.414', '0.414']","['2.240', '1.397', '1.404', '1.277', '1.412']","['0.431', '0.350', '0.424', '0.353', '0.414']"
q2 freeze lstm bigloveatt,"['0.508', '0.559', '0.483', '0.500', '0.552']","['1.222', '1.824', '1.270', '1.402', '1.932']","['0.461', '0.547', '0.461', '0.477', '0.554']"
q2 freeze lstm bifasttextatt,"['0.525', '0.576', '0.517', '0.534', '0.552']","['1.225', '1.039', '1.147', '1.134', '1.239']","['0.472', '0.554', '0.477', '0.496', '0.531']"
q2 freeze gru glove,"['0.356', '0.475', '0.466', '0.345', '0.431']","['1.379', '2.555', '1.601', '1.485', '1.270']","['0.232', '0.448', '0.445', '0.327', '0.411']"
q2 freeze gru biglove,"['0.441', '0.424', '0.431', '0.379', '0.431']","['1.556', '1.419', '1.614', '1.308', '1.397']","['0.412', '0.398', '0.396', '0.347', '0.408']"
q2 freeze gru bigloveatt,"['0.458', '0.441', '0.483', '0.466', '0.466']","['1.337', '1.411', '1.498', '1.497', '1.431']","['0.429', '0.451', '0.466', '0.446', '0.443']"
