,Q1 Freeze,,,,,,Q2 Freeze,,,
Models,,Accuracy,Loss,F1 Score,,Models,,Accuracy,Loss,F1 Score
Feedforward Neural Network (Baseline),,0.733,0.849,0.719,,Feedforward Neural Network (Baseline),,0.472,1.354,0.433
LSTM,With GloVe,0.702,0.78,0.66,,LSTM,With GloVe,0.428,1.84,0.399
,BiLSTM with GloVe,0.705,0.837,0.699,,,BiLSTM with GloVe,0.432,1.546,0.394
,BiLSTM with GloVe and Attention,0.76,0.698,0.75,,,BiLSTM with GloVe and Attention,0.52,1.53,0.5
,BiLSTM with fastText and Attention,0.716,0.741,0.696,,,BiLSTM with fastText and Attention,0.541,1.157,0.506
GRU,With GloVe,0.715,1.05,0.701,,GRU,With GloVe,0.414,1.658,0.373
,BiGRU with GloVe,0.709,0.909,0.692,,,BiGRU with GloVe,0.421,1.459,0.392
,BiGRU with GloVe and Attention,0.781,0.701,0.775,,,BiGRU with GloVe and Attention,0.462,1.435,0.447
,BiGRU with fastText and attention,0.726,0.715,0.692,,,BiGRU with fastText and attention,0.496,1.265,0.465
,,,,,,,,,,
,Q1 Train,,,,,,Q2 Train,,,
Models,,Accuracy,Loss,F1 Score,,Models,,Accuracy,Loss,F1 Score
Feedforward Neural Network (Baseline),,0.716,0.875,0.695,,Feedforward Neural Network (Baseline),,0.527,1.149,0.502
LSTM,With GloVe,0.709,0.951,0.685,,LSTM,With GloVe,0.421,1.573,0.373
,BiLSTM with GloVe,0.709,0.995,0.688,,,BiLSTM with GloVe,0.428,1.622,0.406
,BiLSTM with GloVe and Attention,0.753,0.685,0.735,,,BiLSTM with GloVe and Attention,0.449,1.379,0.421
,BiLSTM with fastText and Attention,0.75,0.689,0.727,,,BiLSTM with fastText and Attention,0.469,1.889,0.45
GRU,With GloVe,0.695,1.244,0.679,,GRU,With GloVe,0.397,1.781,0.345
,BiGRU with GloVe,0.712,1.084,0.709,,,BiGRU with GloVe,0.387,1.601,0.327
,BiGRU with GloVe and Attention,0.753,0.806,0.722,,,BiGRU with GloVe and Attention,0.438,1.448,0.378
,BiGRU with fastText and attention,0.733,0.806,0.709,,,BiGRU with fastText and attention,0.421,1.405,0.363
